num, permutation, resultat, departements, valides, creuse, adjacents, tripoint
543,11027757,3675919,03-67-59-19,True,False,0,
544,11027775,3675925,03-67-59-25,True,False,0,
545,11052777,3684259,03-68-42-59,True,False,1,
546,11057277,3685759,03-68-57-59,True,False,0,
547,11057727,3685909,03-68-59-09,True,False,0,
548,11057772,3685924,03-68-59-24,True,False,0,
549,11072577,3690859,03-69-08-59,True,False,1,
550,11072757,3690919,03-69-09-19,True,False,0,
551,11072775,3690925,03-69-09-25,True,False,0,
552,11075277,3691759,03-69-17-59,True,False,0,
553,11075727,3691909,03-69-19-09,True,False,0,
554,11075772,3691924,03-69-19-24,True,False,1,
555,11077257,3692419,03-69-24-19,True,False,1,
556,11077275,3692425,03-69-24-25,True,False,0,
557,11077527,3692509,03-69-25-09,True,False,0,
558,11077572,3692524,03-69-25-24,True,False,0,
559,11077725,3692575,03-69-25-75,True,False,0,
560,11077752,3692584,03-69-25-84,True,False,0,
561,11205777,3735259,03-73-52-59,True,False,0,
562,11207577,3735859,03-73-58-59,True,False,1,
563,11207757,3735919,03-73-59-19,True,False,0,
564,11207775,3735925,03-73-59-25,True,False,0,
565,11250777,3750259,03-75-02-59,True,False,1,
566,11257077,3752359,03-75-23-59,True,True,1,
567,11257707,3752569,03-75-25-69,True,False,0,
568,11257770,3752590,03-75-25-90,True,False,1,
569,11270577,3756859,03-75-68-59,True,False,0,
570,11270757,3756919,03-75-69-19,True,False,0,
571,11270775,3756925,03-75-69-25,True,False,0,
572,11275077,3758359,03-75-83-59,True,False,0,
573,11275707,3758569,03-75-85-69,True,False,0,
574,11275770,3758590,03-75-85-90,True,False,0,
575,11277057,3759019,03-75-90-19,True,False,0,
576,11277075,3759025,03-75-90-25,True,False,1,
577,11277507,3759169,03-75-91-69,True,False,0,
578,11277570,3759190,03-75-91-90,True,False,0,
579,11277705,3759235,03-75-92-35,True,False,1,
580,11277750,3759250,03-75-92-50,True,False,1,
581,11502777,3834259,03-83-42-59,True,False,1,
582,11507277,3835759,03-83-57-59,True,False,0,
583,11507727,3835909,03-83-59-09,True,False,0,
584,11507772,3835924,03-83-59-24,True,False,0,
585,11520777,3840259,03-84-02-59,True,False,1,
586,11527077,3842359,03-84-23-59,True,True,1,
587,11527707,3842569,03-84-25-69,True,False,0,
588,11527770,3842590,03-84-25-90,True,False,1,
589,11570277,3856759,03-85-67-59,True,False,0,
590,11570727,3856909,03-85-69-09,True,False,0,
591,11570772,3856924,03-85-69-24,True,False,0,
592,11572077,3857359,03-85-73-59,True,False,0,
593,11572707,3857569,03-85-75-69,True,False,0,
594,11572770,3857590,03-85-75-90,True,False,0,
595,11577027,3859009,03-85-90-09,True,False,0,
